timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1604598711.0921428,1 2 3,3 2 1,zigzag,zigzag,12.436263084411621,1.0,True,False
1604598719.941225,1 2 3,1 2 3,zigzag,rocket,8.82418155670166,1.0,False,True
1604598724.5563529,1 2 3,1 2 3,rocket,rocket,4.59650182723999,1.0,True,True
1604598729.0095408,1 2 3,3 2 1,zigzag,zigzag,4.434687614440918,1.0,True,False
1604598741.974916,1 2 3,3 2 1,hair,hair,12.945404291152954,1.0,True,False
1604598747.4653518,1 2 3,2 3 1,zigzag,zigzag,5.471890211105347,1.0,True,False
1604598752.2366393,1 2 3,3 1 2,zigzag,zigzag,4.752706289291382,1.0,True,False
1604598760.0788026,1 2 3,1 2 3,zigzag,zigzag,7.823667287826538,1.0,True,True
1604598768.9250362,1 2 3,2 3 1,zigzag,rocket,8.827638626098633,1.0,False,False
1604598779.2538755,1 2 3,1 3 2,zigzag,hair,10.310056447982788,1.0,False,False
1604598788.3372571,1 2 3,3 1 2,zigzag,rocket,9.064612627029419,1.0,False,False
1604598792.510345,1 2 3,1 2 3,zigzag,hair,4.154428482055664,1.0,False,True
